State,City,PD,Black_Killed,Hispanic_Killed,Native_American_Killed,Asian_Killed,Pacific_Islanders_Killed,White_People_Killed,Unknown_Race_Killed,Total,Black,White,Amer_Indian,Asian,Hawaiian,Other,Two_or_more_races,Hispanic,Black_White_Dissimilarity_Index,Murder_nonnegligent_manslaughter,Violent_crimes_2013,Violent_crimes_2014,Violent_crimes_2015,Violent_crimes_2016,Violent_crimes_2017,Violent_crimes_2018,TotalArrests_2013,TotalArrests_2014,TotalArrests_2015,TotalArrests_2016,TotalArrests_2017,TotalArrests_2018
Indiana,Indianapolis,Indianapolis Metropolitan Police Department,16,,,,,10,,820445,223053,480960,1760,17053,274,2123,17870,77352,55.87,0,10479,10768,11124,11907,11616,11170,39493,33825,39620,37235,40668,34286
California,Irvine,Irvine Police Department,,,,,,,,212375,3494,95822,199,82722,295,554,9668,19621,18.75,5,113,120,144,152,169,160,2742,2500,2988,3337,2782,2064
Texas,Irving,Irving Police Department,2,2,,1,,2,,216290,25550,66559,807,30161,221,434,3591,88967,36.65,96,530,512,469,521,549,510,10329,7077,5831,5281,5464,5854
Florida,Jacksonville,Jacksonville Sheriff's Office,20,,,,,16,3,821784,247516,452525,2687,34731,668,1949,18223,63485,47.54,24,5246,5853,5622,5504,5648,5381,25922,25439,25969,24883,24313,26230
New Jersey,Jersey City,Jersey City Police Department,8,,,,,,,247597,59060,53236,586,58106,95,2423,5835,68256,58.69,78,1655,1381,1383,1276,1365,1233,8239,7334,7670,7732,6071,2972
Missouri,Kansas City Missouri,Kansas City Police Department,17,,,,1,7,3,459787,135916,252257,1823,11275,787,709,11067,45953,62.23,14,5864,5862,6709,7915,8362,7842,11828,12336,10886,10629,10710,10796
Texas,Laredo,Laredo Police Department,,7,,,,1,,236091,478,8086,87,1313,11,121,245,225750,29.02,122,1027,976,972,940,839,890,8202,8125,8196,6945,4564,5991
Nevada,Las Vegas,Las Vegas Metropolitan Police Department,12,14,1,1,,27,4,2027868,62008,279703,2391,34606,3103,1101,16985,183859,32.44,20,11374,12876,14383,13520,10071,9949,78230,70950,65575,67664,68602,75653
Kentucky,Lexington,Lexington Police Department,1,,,,,2,,295803,42336,216072,599,9506,107,546,6163,20474,40.93,7,946,1041,1044,1079,1131,982,9189,8202,13310,13034,17257,19232
Nebraska,Lincoln,Lincoln Police Department,2,,,,,1,,258379,9541,214739,1611,9711,128,353,6114,16182,32.16,23,990,918,1025,1006,,1045,13366,14839,13518,13053,,12874
California,Long Beach,Long Beach Police Department,7,8,,4,,5,,462257,59925,135698,1349,58268,4915,1118,12572,188412,57.35,260,2346,2304,2766,2846,3101,3284,18346,19109,15411,14726,12145,13362
California,Los Angeles,Los Angeles Police Department,27,71,,2,,20,4,3792621,347380,1086908,6589,420212,4300,12057,76353,1838822,66.91,56,16524,19171,25156,28817,30507,30126,90436,83187,71732,68768,64440,58688
Kentucky,Louisville,Louisville Metro Police Department,12,,,1,,7,2,597337,135138,408157,1289,12764,347,1018,11834,26790,55.44,12,3644,4015,4315,4638,4596,4232,31716,34606,41338,40838,42199,41453
Texas,Lubbock,Lubbock Police Department,,3,,,,,,229573,18744,127915,845,5471,147,241,2585,73625,47.23,7,1829,2084,2391,2741,,2565,8861,7695,8092,7679,7129,7496
Wisconsin,Madison,Madison Police Department,3,,,,,5,,233209,16507,176463,763,17126,67,374,5961,15948,36.64,140,884,846,890,832,958,1043,9265,9363,9382,8324,7925,8016
Tennessee,Memphis,Memphis Police Department,15,1,,,,4,4,646889,408075,177735,1186,10067,159,742,6931,41994,67.86,13,10894,11399,11449,11947,13077,12674,47866,39655,34280,31793,30103,31342
Arizona,Mesa,Mesa Police Department,,7,2,,,14,2,439041,14101,282505,8359,8174,1532,555,8062,115753,29.54,81,1807,2119,1972,2051,2047,1837,24509,24120,25723,22995,24344,20800
Tennessee,Nashville,Metropolitan Nashville Police Department,6,2,,,,3,,601222,169272,338782,1418,18497,275,1155,11433,60390,49.16,90,6612,7270,7245,7371,7682,7641,51672,47378,45841,42771,40511,35949
Florida,Miami,Miami Police Department,3,6,,,,,2,399457,64993,47622,361,3649,58,676,2642,279456,75.53,31,4945,4473,4473,3989,3338,2978,31210,29208,25618,24100,19213,20902
Wisconsin,Milwaukee,Milwaukee Police Department,13,1,,,,2,,594833,233325,220219,3408,20553,195,819,13307,103007,70.11,41,8194,8864,9583,9201,9507,8416,41870,32550,27082,24185,24024,19057
Minneapolis,Minneapolis,Minneapolis Police Department,4,1,,1,,1,1,382578,69971,230650,6351,21399,168,962,13004,40073,50.92,150,4038,4093,4395,4622,4614,3395,20797,17358,15019,11879,11955,11652
Louisiana,New Orleans,New Orleans Police Department,10,,,,,2,,343829,204866,104770,827,9883,105,967,4360,18051,67.63,333,2965,3770,3736,4249,4457,4611,,,17017,20589,25089,23674
New York,New York,New York Police Department,48,10,,,,9,8,8175133,1861295,2722904,17427,1028119,2795,57841,148676,2336076,81.41,93,52384,50564,50088,49124,46433,46113,393809,387727,339470,314864,286225,246773
New Jersey,Newark,Newark Police Department,7,1,,,,2,1,277140,138074,32122,713,4318,68,3899,4200,93746,71.19,31,3516,3008,,2637,2543,2069,13648,10192,,8490,7624,7453
Virginia,Norfolk,Norfolk Police Department,7,,,,,4,,242803,102452,107463,935,7861,359,471,7118,16144,50.80,12,1418,1280,1329,1616,1363,1134,17611,15834,12700,11870,12692,13469
Nevada,North Las Vegas,North Las Vegas Police Department,2,3,,,,2,,216961,41561,67687,871,13122,1684,377,7525,84134,27.10,80,1806,1782,2130,2276,2461,2386,,6922,5922,5935,5750,7056
California,Oakland,Oakland Police Department,7,,,,,1,1,390724,106637,101308,1214,65127,2081,1213,14076,99068,51.89,45,7984,6910,6051,6059,5521,5480,7562,9781,10850,11083,10518,8971
Oklahoma,Oklahoma City,Oklahoma City Police Department,24,7,3,,,14,,579999,85744,328582,18208,23051,464,700,23212,100038,46.73,32,4998,4782,4828,5027,5104,5663,19330,19515,19660,18574,17246,15795
Nebraska,Omaha,Omaha Police Department,6,1,1,,,7,,408958,55128,278172,2263,9889,253,806,8894,53553,58.03,15,2449,2458,2329,2531,2909,2628,19407,20400,,18677,,19072
Florida,Orlando,Orlando Police Department,9,5,,1,,3,,238300,63584,98533,483,8756,130,1688,4643,60483,60.99,248,2316,2340,2525,2328,2113,2282,11427,11408,10650,9344,9059,8727
Pennsylvania,Philadelphia,Philadelphia Police Department,21,,,,,2,10,1526006,644287,562585,3498,95521,457,4105,27942,187611,73.35,114,17074,15925,16132,15534,14930,14420,86253,82799,69324,53807,52689,46301
Arizona,Phoenix,Phoenix Police Department,15,39,4,,,40,13,1445632,86788,672573,23327,43894,2055,2242,24876,589877,49.89,69,9492,8749,9261,10700,12511,12110,70691,59811,,44335,49958,52449
Pennsylvania,Pittsburgh,Pittsburgh Police Department,6,,,,,1,,305704,78847,198186,505,13393,76,843,6890,6964,56.55,4,2259,2455,2167,2366,2008,1751,17868,15406,12911,11897,13534,11699
Texas,Plano,Plano Police Department,,1,,,,1,,259841,19199,151629,831,43659,121,449,5779,38174,26.40,26,389,459,433,399,435,402,8832,3432,9163,8885,9335,7657
Oregon,Portland,Portland Police Bureau,4,1,,,,13,,583776,35462,421773,4381,41335,2978,1299,21708,54840,38.64,12,2941,2911,680,3163,3349,3418,,20160,,20322,19107,20501
North Carolina,Raleigh,Raleigh Police Department,2,1,,,,1,,403892,115976,215204,1019,17309,139,828,7549,45868,50.26,15,1683,,,,,,27458,,,,,
Nevada,Reno,Reno Police Department,3,5,,,,4,2,225221,5990,140752,2066,13913,1505,441,5914,54640,32.08,12,1154,1147,1419,1717,1674,1636,12196,12309,11869,12044,12837,14422
California,Riverside,Riverside Police Department,3,5,,,,,,303871,19917,103398,1297,21934,1019,617,6736,148953,25.41,27,1330,1384,1441,1724,1669,1686,8117,11796,8500,9122,7573,7443
New York,Rochester,Rochester Police Department,2,,,1,,1,,210565,83346,79178,666,6350,77,392,6100,34456,51.59,28,2107,1765,1839,1845,1872,1615,,,,,,
California,Sacramento,Sacramento Police Department,5,2,,,,5,1,466488,64967,161062,2586,83841,6392,1253,21111,125276,40.57,103,3137,2968,3611,3549,3378,3329,18467,19824,18132,16282,13810,14054
Texas,San Antonio,San Antonio Police Department,8,25,,1,,9,4,1327407,83365,353106,2771,30596,1097,2105,15415,838952,43.08,43,8828,7704,8594,10754,10759,9647,58324,57490,50826,42077,52253,61234
California,San Bernardino,San Bernardino Police Department,,5,,1,,3,1,209924,29897,39977,867,8027,704,361,4097,125994,33.10,32,1949,2128,2697,2878,2805,2906,6996,7993,6337,6714,8120,9195
California,San Diego,San Diego Police Department,2,9,,4,1,12,2,1307402,82497,589702,3545,204347,5178,3293,42820,376020,54.57,45,5303,5214,5582,5332,5221,5360,41444,40118,36587,35761,35725,33674
California,San Francisco,San Francisco Police Department,5,7,,1,,5,,805235,46781,337451,1828,265700,3128,2494,26079,121774,52.76,32,7064,6761,6710,6190,6301,6144,17451,14699,16604,15271,13950,13891
California,San Jose,San Jose Police Department,1,10,,1,1,6,3,945942,27508,271382,2255,300022,3492,1820,25827,313636,36.76,18,3215,3242,3400,3887,4188,4444,17994,17729,16232,13034,13977,15392
California,Santa Ana,Santa Ana Police Department,1,10,,1,,1,3,324528,3177,29950,507,33618,826,375,2147,253928,24.48,4,1121,1260,1626,1612,1640,1571,8715,8641,8101,7349,7397,6609
Arizona,Scottsdale,Scottsdale Police Department,1,1,,,,4,2,217385,3484,182011,1462,7128,189,276,3610,19225,23.46,26,337,,434,369,396,422,10468,9673,8910,9066,9619,9296
Washington,Seattle,Seattle Police Department,4,2,1,2,1,10,3,608660,47113,403578,3881,83537,2246,1464,26512,40329,51.68,10,3758,4001,4093,4294,4564,5052,15100,13207,14230,14569,14543,15182
Washington,Spokane,Spokane Police Department,1,,2,,,11,1,208916,4643,175482,3663,5266,1152,281,7962,10467,21.73,159,1440,1156,1111,,1360,1742,10654,18510,23794,,4951,5865
Missouri,St. Louis,St. Louis Metropolitan Police Department,36,,,,,3,1,319294,156389,134702,684,9233,62,478,6616,11130,65.28,11,5077,5348,5762,6017,6461,5525,23094,19261,20493,20163,18729,16993
Minnesota,St. Paul,St. Paul Police Department,5,1,2,2,,3,,285068,43620,159437,2316,42494,120,494,9276,27311,43.44,19,2200,1974,2115,1970,1996,1941,11758,9820,9659,9024,9557,8632
Florida,St. Petersburg,St. Petersburg Police Department,2,,,,,8,,244769,57489,157409,567,7672,106,539,4773,16214,65.70,49,2379,2169,1898,1727,1842,1660,13997,13654,13491,10907,10149,9753
California,Stockton,Stockton Police Department,4,6,,2,1,3,2,291707,33507,66836,1237,60323,1622,470,10122,117590,37.25,28,3622,3988,4122,4381,4379,4383,8008,7681,6261,6154,7435,7327
Florida,Tampa,Tampa Police Department,4,,,2,,3,,335709,83032,155552,755,11362,207,794,6535,77472,58.69,24,2097,2080,2298,1906,1785,1598,41318,38102,30983,25676,22660,20310
Ohio,Toledo,Toledo Police Department,3,,,,,4,,287208,76820,176468,755,3204,64,522,8144,21231,53.45,47,2902,3068,3156,3319,,2333,,,,,7426,8467
Arizona,Tucson,Tucson Police Department,2,10,,,,10,6,520116,23362,245323,8776,14211,951,792,10393,216308,25.65,46,3368,,3472,4245,4268,3958,31892,32313,32294,33442,30569,28858
Oklahoma,Tulsa,Tulsa Police Department,7,4,,1,,14,1,391906,61230,227021,19473,8926,278,473,19239,55266,49.79,17,3827,3217,3628,4444,4214,4294,16360,14739,15769,14311,12666,13303
Virginia,Virginia Beach,Virginia Beach Police Department,3,,,,,2,1,437994,83210,282470,1349,26312,602,863,14201,28987,36.36,105,730,660,626,700,625,528,24359,23247,20259,19190,18668,17071
Kansas,Wichita,Wichita Police Department,1,2,,,,10,,382368,42676,246744,3424,18272,311,472,12121,58348,49.27,15,3065,,3839,4136,3998,4622,10566,9323,9307,9120,8322,3931
North Carolina,Winston-Salem,Winston-Salem Police Department,3,,,,,,,229617,78065,108222,567,4536,138,535,3801,33753,50.44,13,1426,1696,,,,,19742,18875,16146,15432,,12786
